"","permutation","TF","weighted_meanDifference","weighted_CD","TFBS","weighted_Tstat","variance","pvalue"
"880",8,"MA0102.4",0.00118,0.0316,3065,NA,NA,0.0769230769230769
"881",9,"MA0102.4",0.00315,0.0367,3065,NA,NA,0.0769230769230769
"882",10,"MA0102.4",-0.00162,0.0511,3065,NA,NA,0.0769230769230769
"883",11,"MA0102.4",-0.00605,0.0625,3065,NA,NA,0.0769230769230769
"884",12,"MA0102.4",0.00193,0.0416,3065,NA,NA,0.0769230769230769
"885",0,"MA0103.3",0.0504,0.122,6826,NA,NA,0.0769230769230769
"886",1,"MA0103.3",-0.0154,0.168,6826,NA,NA,0.0769230769230769
"887",2,"MA0103.3",0.0114,0.191,6826,NA,NA,0.0769230769230769
"888",3,"MA0103.3",0.00107,0.0733,6826,NA,NA,0.0769230769230769
"889",4,"MA0103.3",-0.00155,0.115,6826,NA,NA,0.0769230769230769
"890",5,"MA0103.3",-0.00881,0.159,6826,NA,NA,0.0769230769230769
"891",6,"MA0103.3",0.00624,0.133,6826,NA,NA,0.0769230769230769
"892",7,"MA0103.3",-0.0089,0.126,6826,NA,NA,0.0769230769230769
"893",8,"MA0103.3",0.0084,0.148,6826,NA,NA,0.0769230769230769
"894",9,"MA0103.3",-0.00675,0.0826,6826,NA,NA,0.0769230769230769
"895",10,"MA0103.3",-0.00459,0.111,6826,NA,NA,0.0769230769230769
"896",11,"MA0103.3",-0.00514,0.108,6826,NA,NA,0.0769230769230769
"897",12,"MA0103.3",-0.00409,0.094,6826,NA,NA,0.0769230769230769
"898",0,"MA0104.4",-0.0356,0.0754,7535,NA,NA,0.0769230769230769
"899",1,"MA0104.4",0.00548,0.0594,7535,NA,NA,0.0769230769230769
"900",2,"MA0104.4",0.000352,0.0352,7535,NA,NA,0.0769230769230769
"901",3,"MA0104.4",0.000529,0.0275,7535,NA,NA,0.0769230769230769
"902",4,"MA0104.4",-0.00465,0.1,7535,NA,NA,0.0769230769230769
"903",5,"MA0104.4",0.000463,0.0278,7535,NA,NA,0.0769230769230769
"904",6,"MA0104.4",-0.000349,0.0269,7535,NA,NA,0.0769230769230769
"905",7,"MA0104.4",0.00154,0.0287,7535,NA,NA,0.0769230769230769
"906",8,"MA0104.4",-0.00204,0.0446,7535,NA,NA,0.0769230769230769
"907",9,"MA0104.4",0.0045,0.0599,7535,NA,NA,0.0769230769230769
"908",10,"MA0104.4",-0.00392,0.0876,7535,NA,NA,0.0769230769230769
"909",11,"MA0104.4",0.00543,0.07,7535,NA,NA,0.0769230769230769
"910",12,"MA0104.4",0.000285,0.034,7535,NA,NA,0.0769230769230769
"911",0,"MA0105.4",0.0996,0.208,4521,NA,NA,0.0769230769230769
"912",1,"MA0105.4",-0.0189,0.206,4521,NA,NA,0.0769230769230769
"913",2,"MA0105.4",0.0097,0.166,4521,NA,NA,0.0769230769230769
"914",3,"MA0105.4",0.0062,0.136,4521,NA,NA,0.0769230769230769
"915",4,"MA0105.4",0.00484,0.113,4521,NA,NA,0.0769230769230769
"916",5,"MA0105.4",-0.005,0.104,4521,NA,NA,0.0769230769230769
"917",6,"MA0105.4",0.000146,0.0249,4521,NA,NA,0.0769230769230769
"918",7,"MA0105.4",-0.0145,0.183,4521,NA,NA,0.0769230769230769
"919",8,"MA0105.4",0.0103,0.175,4521,NA,NA,0.0769230769230769
"920",9,"MA0105.4",0.00132,0.0326,4521,NA,NA,0.0769230769230769
"921",10,"MA0105.4",-0.00216,0.0523,4521,NA,NA,0.0769230769230769
"922",11,"MA0105.4",-0.0141,0.18,4521,NA,NA,0.0769230769230769
"923",12,"MA0105.4",0.000202,0.0425,4521,NA,NA,0.0769230769230769
"924",0,"MA0106.3",-0.0547,0.116,2756,NA,NA,0.0769230769230769
"925",1,"MA0106.3",0.0171,0.169,2756,NA,NA,0.0769230769230769
"926",2,"MA0106.3",-0.00964,0.143,2756,NA,NA,0.0769230769230769
"927",3,"MA0106.3",-0.00446,0.083,2756,NA,NA,0.0769230769230769
"928",4,"MA0106.3",0.00355,0.0822,2756,NA,NA,0.0769230769230769
"929",5,"MA0106.3",0.0106,0.158,2756,NA,NA,0.0769230769230769
"930",6,"MA0106.3",-0.00538,0.098,2756,NA,NA,0.0769230769230769
"931",7,"MA0106.3",0.0069,0.0878,2756,NA,NA,0.0769230769230769
"932",8,"MA0106.3",-0.0034,0.0856,2756,NA,NA,0.0769230769230769
"933",9,"MA0106.3",0.00218,0.0711,2756,NA,NA,0.0769230769230769
"934",10,"MA0106.3",0.000425,0.0605,2756,NA,NA,0.0769230769230769
"935",11,"MA0106.3",0.0056,0.0749,2756,NA,NA,0.0769230769230769
"936",12,"MA0106.3",0.00359,0.0795,2756,NA,NA,0.0769230769230769
"937",0,"MA0107.1",0.0656,0.131,6537,NA,NA,0.0769230769230769
"938",1,"MA0107.1",-0.0096,0.0994,6537,NA,NA,0.0769230769230769
"939",2,"MA0107.1",0.00561,0.087,6537,NA,NA,0.0769230769230769
"940",3,"MA0107.1",0.00571,0.107,6537,NA,NA,0.0769230769230769
"941",4,"MA0107.1",0.00668,0.14,6537,NA,NA,0.0769230769230769
"942",5,"MA0107.1",0.002,0.0371,6537,NA,NA,0.0769230769230769
"943",6,"MA0107.1",-0.00312,0.0688,6537,NA,NA,0.0769230769230769
"944",7,"MA0107.1",-0.00899,0.107,6537,NA,NA,0.0769230769230769
"945",8,"MA0107.1",0.00718,0.115,6537,NA,NA,0.0769230769230769
"946",9,"MA0107.1",0.00647,0.0751,6537,NA,NA,0.0769230769230769
"947",10,"MA0107.1",-0.000921,0.0276,6537,NA,NA,0.0769230769230769
"948",11,"MA0107.1",-0.0114,0.135,6537,NA,NA,0.0769230769230769
"949",12,"MA0107.1",0.0012,0.0419,6537,NA,NA,0.0769230769230769
"950",0,"MA0108.2",0.137,0.257,3685,NA,NA,0.0769230769230769
"951",1,"MA0108.2",-0.0249,0.24,3685,NA,NA,0.0769230769230769
"952",2,"MA0108.2",0.0117,0.162,3685,NA,NA,0.0769230769230769
"953",3,"MA0108.2",0.00784,0.132,3685,NA,NA,0.0769230769230769
"954",4,"MA0108.2",0.00598,0.113,3685,NA,NA,0.0769230769230769
"955",5,"MA0108.2",-0.00745,0.117,3685,NA,NA,0.0769230769230769
"956",6,"MA0108.2",0.000654,0.0282,3685,NA,NA,0.0769230769230769
"957",7,"MA0108.2",-0.019,0.213,3685,NA,NA,0.0769230769230769
"958",8,"MA0108.2",0.0117,0.17,3685,NA,NA,0.0769230769230769
"959",9,"MA0108.2",-0.00085,0.0275,3685,NA,NA,0.0769230769230769
"960",10,"MA0108.2",-0.00292,0.116,3685,NA,NA,0.0769230769230769
"961",11,"MA0108.2",-0.0201,0.218,3685,NA,NA,0.0769230769230769
"962",12,"MA0108.2",0.0000102,0.0291,3685,NA,NA,0.0769230769230769
"963",0,"MA0109.1",0.0567,0.108,2812,NA,NA,0.0769230769230769
"964",1,"MA0109.1",-0.0124,0.12,2812,NA,NA,0.0769230769230769
"965",2,"MA0109.1",0.00589,0.0842,2812,NA,NA,0.0769230769230769
"966",3,"MA0109.1",0.00274,0.0523,2812,NA,NA,0.0769230769230769
"967",4,"MA0109.1",0.0021,0.0397,2812,NA,NA,0.0769230769230769
"968",5,"MA0109.1",-0.0047,0.0709,2812,NA,NA,0.0769230769230769
"969",6,"MA0109.1",0.00138,0.0293,2812,NA,NA,0.0769230769230769
"970",7,"MA0109.1",-0.00789,0.0868,2812,NA,NA,0.0769230769230769
"971",8,"MA0109.1",0.0062,0.0898,2812,NA,NA,0.0769230769230769
"972",9,"MA0109.1",-0.00132,0.0188,2812,NA,NA,0.0769230769230769
"973",10,"MA0109.1",-0.000166,0.0143,2812,NA,NA,0.0769230769230769
"974",11,"MA0109.1",-0.00692,0.0771,2812,NA,NA,0.0769230769230769
"975",12,"MA0109.1",-0.000453,0.0298,2812,NA,NA,0.0769230769230769
"976",0,"MA0111.1",0.0327,0.0661,5622,NA,NA,0.0769230769230769
"977",1,"MA0111.1",-0.00921,0.0933,5622,NA,NA,0.0769230769230769
"978",2,"MA0111.1",0.00517,0.078,5622,NA,NA,0.0769230769230769
"979",3,"MA0111.1",0.00144,0.0283,5622,NA,NA,0.0769230769230769
"980",4,"MA0111.1",-0.000192,0.0393,5622,NA,NA,0.0769230769230769
"981",5,"MA0111.1",-0.00481,0.0758,5622,NA,NA,0.0769230769230769
"982",6,"MA0111.1",0.00197,0.0439,5622,NA,NA,0.0769230769230769
"983",7,"MA0111.1",-0.00568,0.0682,5622,NA,NA,0.0769230769230769
"984",8,"MA0111.1",0.00511,0.0818,5622,NA,NA,0.0769230769230769
"985",9,"MA0111.1",-0.0013,0.0163,5622,NA,NA,0.0769230769230769
"986",10,"MA0111.1",-0.000762,0.0213,5622,NA,NA,0.0769230769230769
"987",11,"MA0111.1",-0.00251,0.0337,5622,NA,NA,0.0769230769230769
"988",12,"MA0111.1",-0.00063,0.0351,5622,NA,NA,0.0769230769230769
"989",0,"MA0112.3",0.00598,0.0951,6904,NA,NA,0.0769230769230769
"990",1,"MA0112.3",-0.000998,0.0835,6904,NA,NA,0.0769230769230769
"991",2,"MA0112.3",0.00092,0.059,6904,NA,NA,0.0769230769230769
"992",3,"MA0112.3",0.000146,0.0708,6904,NA,NA,0.0769230769230769
