TF	weighted_meanDifference	weighted_CD	TFBS	weighted_Tstat	variance	pvalue	Cohend_factor	pvalueAdj	median.cor.tfs	classification_q0.1	classification_q0.05	classification_q0.01	classification_q0.001	classification_distr_rawP	classification_q0.1_final	classification_q0.05_final	classification_q0.01_final	classification_q0.001_final
MA0473.3	-0.000627	0.103	5707	NaN	NA	0.923076923076923	2	0.924341412012645	-0.0565079684583381	undetermined	undetermined	undetermined	undetermined	0.000000000000000000000000000000144997714162499	undetermined	undetermined	undetermined	undetermined
MA0474.2	-0.00866	0.171	7695	NaN	NA	0.307692307692308	2	0.322239365219308	0.172319531596122	activator	activator	activator	activator	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000533468909774896	activator	activator	activator	activator
MA0475.2	-0.0146	0.177	7461	NaN	NA	0.153846153846154	2	0.164417453891138	0.177082000334636	activator	activator	activator	activator	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000251276742867136	activator	activator	activator	activator
MA0476.1	-0.18	0.342	6116	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0878636937907778	repressor	repressor	repressor	undetermined	0.000000000000000000000000000000000000000000000000000000000907371635814819	repressor	repressor	repressor	undetermined
MA0477.2	-0.175	0.33	5161	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0478.1	-0.188	0.357	5857	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0550297754543875	undetermined	undetermined	undetermined	undetermined	0.999997462573091	undetermined	undetermined	undetermined	undetermined
MA0479.1	0.035	0.0861	3229	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0480.1	0.0223	0.0415	5777	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0665709672274626	activator	activator	activator	undetermined	0.000000175199318764589	activator	activator	activator	undetermined
MA0481.3	0.00127	0.0381	3818	NaN	NA	0.769230769230769	1	0.782069113084412	0.066999640028263	activator	activator	activator	undetermined	0.000000582147906984796	activator	activator	activator	undetermined
MA0482.2	0.0304	0.0583	3502	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0336943757896542	undetermined	undetermined	undetermined	undetermined	0.955154700278692	undetermined	undetermined	undetermined	undetermined
MA0483.1	0.0282	0.0626	4166	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0484.2	0.0481	0.0924	3875	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0210954928717265	undetermined	undetermined	undetermined	undetermined	0.000000000000126921740654646	undetermined	undetermined	undetermined	undetermined
MA0485.2	0.126	0.233	1717	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0486.2	0.127	0.237	2962	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.137850888291287	activator	activator	activator	activator	0.0000000000000000000000000000000213718779092995	activator	activator	activator	activator
MA0488.1	-0.113	0.218	4028	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.247176159185395	activator	activator	activator	activator	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000155770329930542	activator	activator	activator	activator
MA0489.1	-0.173	0.328	5682	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0490.2	-0.167	0.313	4674	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0491.2	-0.176	0.328	4380	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.166202474976719	activator	activator	activator	activator	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000679726651682353	activator	activator	activator	activator
MA0492.1	-0.14	0.274	3812	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0493.1	-0.067	0.14	8081	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0494.1	0.00101	0.0646	5329	NaN	NA	0.538461538461538	1	0.555169794944125	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0495.3	0.0346	0.0642	2524	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0912235384018521	activator	activator	activator	activator	0.0000000000000000000000000098011139481757	activator	activator	activator	activator
MA0496.3	-0.0677	0.136	8625	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.00290328333730957	undetermined	undetermined	undetermined	undetermined	1	undetermined	undetermined	undetermined	undetermined
MA0497.1	0.127	0.235	2265	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.117478019059491	activator	activator	activator	activator	0.0000000000000000000000140042240260005	activator	activator	activator	activator
MA0499.2	0.015	0.0867	5897	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0432085514441716	activator	activator	undetermined	undetermined	0.0000000000000000000000000000000000000000000773697060338491	activator	activator	undetermined	undetermined
MA0500.2	0.0285	0.0585	4802	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0501.1	-0.0768	0.148	6422	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0502.2	-0.0724	0.158	7919	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0259142275090293	undetermined	undetermined	undetermined	undetermined	0.00000000000000000000000312710101951723	undetermined	undetermined	undetermined	undetermined
MA0503.1	0.00923	0.0655	5843	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0504.1	-0.0277	0.0989	7783	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.144467277656503	activator	activator	activator	activator	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000713449433430182	activator	activator	activator	activator
MA0505.1	0.123	0.259	3616	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0910895153615321	activator	activator	activator	activator	0.000000000000000000000000000000000000000000180185124709142	activator	activator	activator	activator
MA0506.1	-0.0405	0.085	14922	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.000887064140686805	undetermined	undetermined	undetermined	undetermined	0.121298491505565	undetermined	undetermined	undetermined	undetermined
MA0507.1	0.0301	0.0845	2823	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.137863445369931	repressor	repressor	repressor	repressor	0.0000000000000000000000000000000000000000000000000000000154551245009068	repressor	repressor	repressor	repressor
MA0508.3	0.0738	0.14	3787	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0941242196752952	repressor	repressor	repressor	repressor	0.000101084439161999	repressor	repressor	repressor	repressor
MA0509.2	-0.13	0.252	6800	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0124015157361608	undetermined	undetermined	undetermined	undetermined	0.000000833193606072931	undetermined	undetermined	undetermined	undetermined
MA0510.2	-0.137	0.267	7150	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0118835531487378	undetermined	undetermined	undetermined	undetermined	0.000000000000219838807899021	undetermined	undetermined	undetermined	undetermined
MA0511.2	0.0791	0.153	3582	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.00663418146263558	undetermined	undetermined	undetermined	undetermined	0.991154043047944	undetermined	undetermined	undetermined	undetermined
MA0512.2	-0.063	0.116	5230	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.109533672260406	activator	activator	activator	activator	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120495251294728	activator	activator	activator	activator
MA0513.1	-0.00566	0.0428	8882	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0514.1	0.0123	0.0249	8466	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0124300254864338	undetermined	undetermined	undetermined	undetermined	0.999999999997446	undetermined	undetermined	undetermined	undetermined
MA0515.1	0.0188	0.0354	4732	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0295019540461004	activator	undetermined	undetermined	undetermined	0.0180689571338531	activator	undetermined	undetermined	undetermined
MA0516.2	-0.0799	0.2	7789	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0502177497831911	undetermined	undetermined	undetermined	undetermined	0.000000000000460889030874569	undetermined	undetermined	undetermined	undetermined
MA0517.1	0.107	0.202	4405	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0518.1	0.0624	0.119	3616	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0519.1	0.0782	0.146	4017	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0520.1	0.0993	0.187	2767	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.101842757735041	repressor	repressor	repressor	repressor	0.0000000000000000000000000000000000000000000000000000000000000000135165162610378	repressor	repressor	repressor	repressor
MA0521.1	0.0113	0.0599	11265	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0271714616352342	activator	undetermined	undetermined	undetermined	0.000000000000000000000000000000000000000000964656763233536	activator	undetermined	undetermined	undetermined
MA0522.3	-0.0135	0.145	10057	NaN	NA	0.153846153846154	2	0.164417453891138	-0.0786790152410388	repressor	repressor	undetermined	undetermined	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000872459581667884	repressor	repressor	undetermined	undetermined
MA0523.1	-0.0514	0.0959	4127	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0220253300315115	undetermined	undetermined	undetermined	undetermined	0.0000487225884321389	undetermined	undetermined	undetermined	undetermined
MA0524.2	0.0629	0.132	14648	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0457195870257785	activator	activator	undetermined	undetermined	0.0000000000000000000000000000000000000000278587268158988	activator	activator	undetermined	undetermined
MA0525.2	-0.0417	0.0793	3869	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0722494356586856	repressor	repressor	undetermined	undetermined	0.0582635194520722	undetermined	undetermined	undetermined	undetermined
MA0526.3	-0.0797	0.157	6750	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0527.1	0.0101	0.0463	11102	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0959355452107377	activator	activator	activator	activator	0.0000000000000000000000000000167588639615095	activator	activator	activator	activator
MA0528.2	-0.0244	0.0733	13555	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0591.1	-0.0648	0.143	8657	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0592.3	0.0104	0.0708	4128	NaN	NA	0.307692307692308	1	0.322239365219308	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0593.1	0.00388	0.0281	3358	NaN	NA	0.461538461538462	1	0.479239510489511	0.0745598340948424	activator	activator	activator	undetermined	0.000336053835179179	activator	activator	activator	undetermined
MA0594.2	0.0492	0.0976	2041	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0595.1	0.0335	0.0743	4585	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0852134491653957	repressor	repressor	repressor	undetermined	0.0000000077266845543798	repressor	repressor	repressor	undetermined
MA0596.1	0.0116	0.0386	4877	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0222977404250323	undetermined	undetermined	undetermined	undetermined	0.870336569835842	undetermined	undetermined	undetermined	undetermined
MA0597.1	0.021	0.0828	13711	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0664355913695318	repressor	repressor	undetermined	undetermined	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000160417302397712	repressor	repressor	undetermined	undetermined
MA0598.3	-0.00205	0.113	4634	NaN	NA	0.769230769230769	2	0.782069113084412	-0.0507131037717635	undetermined	undetermined	undetermined	undetermined	0.00235301823489179	undetermined	undetermined	undetermined	undetermined
MA0599.1	-0.0359	0.104	11847	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0267429885986382	undetermined	undetermined	undetermined	undetermined	1	undetermined	undetermined	undetermined	undetermined
MA0600.2	-0.162	0.315	5861	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.102360563183706	activator	activator	activator	activator	0.000000000000000000000000000000000000000000000000000000213849042039322	activator	activator	activator	activator
MA0601.1	0.134	0.25	1668	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.197506606554084	activator	activator	activator	activator	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000221273144767556	activator	activator	activator	activator
MA0602.1	0.167	0.301	1092	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.044916250441416	activator	activator	undetermined	undetermined	0.0000000000000000000930199495005056	activator	activator	undetermined	undetermined
MA0603.1	-0.0585	0.124	5876	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0352874326554151	activator	undetermined	undetermined	undetermined	0.00000021881937996791	activator	undetermined	undetermined	undetermined
MA0604.1	-0.103	0.213	5443	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0842780044995571	repressor	repressor	repressor	undetermined	0.0000000000000000000000000000000225788194227091	repressor	repressor	repressor	undetermined
MA0605.2	-0.173	0.342	3875	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0738094197045951	activator	activator	activator	undetermined	0.00000000000000000000000000000000000000000000000000000000000000000000272016852977603	activator	activator	activator	undetermined
MA0606.1	0.0752	0.14	2191	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0886646504634972	activator	activator	activator	activator	0.00000000000000000000000000000000000000021757753926781	activator	activator	activator	activator
MA0607.1	0.0693	0.127	4080	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0608.1	-0.0225	0.0554	8460	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.100417187444166	repressor	repressor	repressor	repressor	0.0000000000000000000000000000000000840079397118273	repressor	repressor	repressor	repressor
MA0609.2	-0.143	0.286	5026	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.196100804319068	repressor	repressor	repressor	repressor	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000261321579075811	repressor	repressor	repressor	repressor
MA0610.1	0.0903	0.162	2974	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0210011099517803	undetermined	undetermined	undetermined	undetermined	0.102989735782524	undetermined	undetermined	undetermined	undetermined
MA0611.1	-0.0428	0.125	5200	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0612.2	-0.0332	0.075	3871	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.000486693920644918	undetermined	undetermined	undetermined	undetermined	0.999889923230388	undetermined	undetermined	undetermined	undetermined
MA0613.1	0.0397	0.0759	5038	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0706447274515618	repressor	repressor	undetermined	undetermined	0.992160377439241	undetermined	undetermined	undetermined	undetermined
MA0614.1	0.0478	0.0893	4887	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0703250038779234	activator	activator	activator	undetermined	0.000000000000000000000000000000000000000000000000000000000000000000000000116070422393049	activator	activator	activator	undetermined
MA0615.1	-0.0128	0.0566	4106	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.166341003904853	repressor	repressor	repressor	repressor	0.0000000000000000000000000000000000000000000000000000000000000000000144157939228171	repressor	repressor	repressor	repressor
MA0616.2	-0.0206	0.0486	7470	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0618.1	0.0561	0.103	4364	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0619.1	0.0982	0.18	1637	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.149305145741518	activator	activator	activator	activator	0.0000000000027535291884911	activator	activator	activator	activator
MA0620.3	-0.117	0.238	3238	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0151496151324579	undetermined	undetermined	undetermined	undetermined	0.999578374058172	undetermined	undetermined	undetermined	undetermined
MA0621.1	0.0334	0.0645	3559	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0622.1	-0.00385	0.037	6993	NaN	NA	0.153846153846154	1	0.164417453891138	-0.0541750420769297	undetermined	undetermined	undetermined	undetermined	0.0000511369766382447	undetermined	undetermined	undetermined	undetermined
MA0623.2	0.0428	0.0771	1842	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0503626064940831	activator	activator	undetermined	undetermined	0.0000793428293539202	activator	activator	undetermined	undetermined
MA0624.1	0.081	0.151	3185	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.104000489485651	activator	activator	activator	activator	0.000000000000000000131844139716274	activator	activator	activator	activator
MA0625.1	0.0816	0.152	3214	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.138579857688111	activator	activator	activator	activator	0.00000000000000000000000000000000000000000000000000000000000000000000150591327552867	activator	activator	activator	activator
MA0626.1	-0.00612	0.0379	7727	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0237870297845592	undetermined	undetermined	undetermined	undetermined	0.00000000000000000338087122142832	undetermined	undetermined	undetermined	undetermined
MA0627.2	0.0368	0.0932	2393	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0967968932027703	activator	activator	activator	activator	0.00000000000000000000000000000019235063053063	activator	activator	activator	activator
MA0628.1	0.0486	0.0877	2169	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0555109246804512	undetermined	undetermined	undetermined	undetermined	0.0000000000000409711651697338	undetermined	undetermined	undetermined	undetermined
MA0629.1	0.0408	0.0774	4105	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0630.1	-0.0172	0.0479	3914	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0711991671759542	repressor	repressor	undetermined	undetermined	0.00000000000000000000307163323507112	repressor	repressor	undetermined	undetermined
MA0631.1	0.0438	0.084	2743	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0520629161874342	undetermined	undetermined	undetermined	undetermined	0.247326415827035	undetermined	undetermined	undetermined	undetermined
MA0632.2	-0.034	0.0728	13597	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.051876599964993	undetermined	undetermined	undetermined	undetermined	0.00000000000000000964953845620601	undetermined	undetermined	undetermined	undetermined
MA0633.1	0.0514	0.0984	2512	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.107241157194885	activator	activator	activator	activator	0.0000000000000000000000347464213112129	activator	activator	activator	activator
MA0634.1	0.00706	0.0303	5656	NaN	NA	0.307692307692308	1	0.322239365219308	-0.106006560477271	repressor	repressor	repressor	repressor	0.00000000000000000000000000000000963277278098199	repressor	repressor	repressor	repressor
MA0635.1	0.0851	0.161	3927	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0889625854322342	repressor	repressor	repressor	undetermined	0.0000000000000248640037172489	repressor	repressor	repressor	undetermined
MA0636.1	-0.0862	0.178	3593	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0178071793781256	undetermined	undetermined	undetermined	undetermined	0.995967836303105	undetermined	undetermined	undetermined	undetermined
MA0637.1	0.0482	0.0992	7472	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0638.1	-0.0588	0.122	8179	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.160298327054765	activator	activator	activator	activator	0.0000000000000000000000000000000000000000000000000000000000000471965308530899	activator	activator	activator	activator
MA0639.1	0.0698	0.129	1098	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0640.2	0.0149	0.0849	5537	NaN	NA	0.153846153846154	1	0.164417453891138	-0.132836061525844	repressor	repressor	repressor	repressor	0.0000000000000000000000000000000000000000000000270378899476917	repressor	repressor	repressor	repressor
MA0641.1	-0.00783	0.149	9466	NaN	NA	0.153846153846154	2	0.164417453891138	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0642.1	-0.071	0.139	5622	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0640892429238413	repressor	repressor	undetermined	undetermined	0.000000368233846017879	repressor	repressor	undetermined	undetermined
MA0643.1	0.011	0.0454	5783	NaN	NA	0.153846153846154	1	0.164417453891138	-0.139313463899665	repressor	repressor	repressor	repressor	0.0000000000000000000000000000000000000000000000000000000000000000217012292683297	repressor	repressor	repressor	repressor
MA0644.1	-0.0419	0.081	5675	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0645.1	-0.0272	0.142	8104	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.168647694973106	repressor	repressor	repressor	repressor	0.000000000000000000000000000000000000000000000000000000000000000000000000100134184186054	repressor	repressor	repressor	repressor
MA0646.1	0.0393	0.081	11372	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0647.1	-0.0108	0.0321	3116	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0648.1	-0.0864	0.166	10829	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0924080769150022	activator	activator	activator	activator	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000781452672960605	activator	activator	activator	activator
MA0649.1	-0.0148	0.0539	7193	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0629695751883181	activator	activator	undetermined	undetermined	0.000000000000000000000000000000000000488935322076166	activator	activator	undetermined	undetermined
MA0650.2	0.126	0.236	2669	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0651.1	0.0865	0.161	3523	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0652.1	0.0736	0.139	2796	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0114143562570354	undetermined	undetermined	undetermined	undetermined	0.00000000000361792246279506	undetermined	undetermined	undetermined	undetermined
MA0653.1	0.0783	0.147	3621	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.00304102829812714	undetermined	undetermined	undetermined	undetermined	0.000381636232273055	undetermined	undetermined	undetermined	undetermined
MA0654.1	-0.0172	0.048	3914	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0655.1	-0.16	0.302	5380	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.260693241185552	activator	activator	activator	activator	0	activator	activator	activator	activator
MA0656.1	-0.181	0.357	3957	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0657.1	-0.0524	0.137	8047	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0437380112956407	activator	activator	undetermined	undetermined	0.000000000000000000712405896256896	activator	activator	undetermined	undetermined
MA0658.1	-0.0138	0.0431	4081	NaN	NA	0.153846153846154	1	0.164417453891138	-0.121668451066434	repressor	repressor	repressor	repressor	0.000000000000000000000608927601189783	repressor	repressor	repressor	repressor
MA0659.2	0.0253	0.0599	2823	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0185898589781533	undetermined	undetermined	undetermined	undetermined	0.999999932951307	undetermined	undetermined	undetermined	undetermined
MA0660.1	0.118	0.223	2343	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0267779062377214	undetermined	undetermined	undetermined	undetermined	0.0000780374481474423	undetermined	undetermined	undetermined	undetermined
MA0661.1	-0.0277	0.0561	5557	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.00877976048991363	undetermined	undetermined	undetermined	undetermined	0.00000000000000000118183997122935	undetermined	undetermined	undetermined	undetermined
MA0662.1	-0.013	0.0315	5008	NaN	NA	0.153846153846154	1	0.164417453891138	-0.0511696024547018	undetermined	undetermined	undetermined	undetermined	0.982070537134522	undetermined	undetermined	undetermined	undetermined
MA0663.1	-0.0756	0.158	3772	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0726618707161771	activator	activator	activator	undetermined	0.00000000000000105047390077204	activator	activator	activator	undetermined
MA0664.1	-0.0728	0.152	3781	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0936821732100819	repressor	repressor	repressor	repressor	0.00292679836891442	repressor	repressor	repressor	repressor
MA0665.1	0.014	0.0262	3631	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.011490415451448	undetermined	undetermined	undetermined	undetermined	0.002216146484474	undetermined	undetermined	undetermined	undetermined
MA0666.1	-0.0359	0.0869	3443	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0230214626144193	undetermined	undetermined	undetermined	undetermined	0.546659665086853	undetermined	undetermined	undetermined	undetermined
MA0667.1	0.0207	0.0512	3222	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0124948873984304	undetermined	undetermined	undetermined	undetermined	0.000195407286451536	undetermined	undetermined	undetermined	undetermined
MA0668.1	0.0427	0.0798	2180	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0260261381862576	undetermined	undetermined	undetermined	undetermined	0.999999568128817	undetermined	undetermined	undetermined	undetermined
